Country.Name,Continent,X1960,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area_KM,Density_Per_KM,Growth.Rate,World.Population.Percentage,X1961_R,X1970_R,X1980_R,X1990_R,X2000_R,X2010_R,X2015_R,X2020_R
Aruba,North America,NA,NA,NA,764887117.2,1873452514,2390502793,2919553073,NA,106445,106585,104257,100341,89101,65712,62267,59106,180,591.3611,0.9991,0,NA,NA,NA,3.961401727,7.616588194,-3.685029387,5.700000876,NA
Afghanistan,Asia,537777811.1,1748886596,3641723322,NA,NA,15856574731,19907111419,19291104008,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,63.0587,1.0257,0.52,NA,NA,NA,NA,NA,14.36244147,1.45131466,-1.934778249
Angola,Africa,NA,NA,5930503401,11228764963,9129594819,83799496611,1.16194E+11,88815697793,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,28.5466,1.0315,0.45,NA,NA,NA,-3.450098684,3.054624234,4.403932543,0.943571561,-4.04051
Albania,Europe,NA,NA,NA,2028553750,3480355189,11926928506,11386846319,15279183290,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,98.8702,0.9957,0.04,NA,NA,NA,-9.575640169,6.950036134,3.706892301,2.218752232,-3.311239444
Andorra,Europe,NA,78619206.09,446416105.8,1029048482,1429049198,3449966857,2789870188,3154057987,79824,77700,71746,71519,66097,53569,35611,19860,468,170.5641,1.01,0,NA,NA,2.208727607,3.78138759,3.528362361,-1.974958,1.434140395,-11.95605842
United Arab Emirates,Asia,NA,NA,43598748449,50701443748,1.04337E+11,2.89787E+11,3.58135E+11,4.21142E+11,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,112.9322,1.0081,0.12,NA,NA,23.87477491,18.32798553,10.85270421,1.602809961,5.105936984,NA
Argentina,South America,NA,31584210366,76961923742,1.41352E+11,2.84204E+11,4.23627E+11,5.94749E+11,4.45445E+11,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,5.42784288,3.045643319,1.518783949,-2.467213776,-0.788998939,10.12539816,2.731159828,-9.905234856
Armenia,Asia,NA,NA,NA,2256838858,1911563665,9260284938,10553337673,13672802158,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03,NA,NA,NA,NA,5.900000003,2.2,3.199999999,-7.6
American Samoa,Oceania,NA,NA,NA,NA,NA,5.76E+08,6.61E+08,NA,44273,46189,51368,54849,58230,47818,32886,27075,199,222.4774,0.9831,0,NA,NA,NA,NA,NA,0.299850075,3.149606299,NA
Antigua and Barbuda,North America,NA,NA,131431026.7,459470370.4,826370370.4,1148700000,1336692593,1661962963,93763,92664,89941,85695,75055,63328,64888,64516,442,212.1335,1.0058,0,NA,NA,8.161430797,3.011714686,6.203431254,-7.840594744,3.825293099,-15.97350964
Australia,Oceania,18577668272,41271138985,1.49776E+11,3.10781E+11,4.15223E+11,1.14614E+12,1.35169E+12,1.39657E+12,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,2.485769492,7.172186576,3.034245871,3.570998147,3.933136945,2.067417128,2.192647426,-0.284839298
Austria,Europe,6592693841,15373005557,82058912997,1.66463E+11,1.968E+11,3.91893E+11,3.81818E+11,4.45075E+11,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,5.537979317,6.321142632,1.731485595,4.345641399,3.375722147,1.837093677,1.014501586,-6.259034819
Azerbaijan,Asia,NA,NA,NA,8858006036,5272617196,52902703376,53074370486,48047647059,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,119.6082,1.0044,0.13,NA,NA,NA,NA,11.0999995,4.789242792,1.049546368,-4.309989133
Burundi,Africa,195999990,242732571.4,919726666.7,1132101253,870486065.9,2032135247,3104394858,3012334882,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,463.0874,1.027,0.16,-13.74613505,21.32567073,0.991055725,3.49982214,-0.856864058,5.124163303,-3.900003086,0.297577119
Belgium,Europe,11658722591,26706196047,1.26829E+11,2.05332E+11,2.36205E+11,4.80952E+11,4.6215E+11,5.33097E+11,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,381.8111,1.0038,0.15,4.978423063,5.582858284,4.444053876,3.137402316,3.716679384,2.864292708,2.041459009,-6.283929951
Benin,Africa,226195579.4,333627758.2,1405251547,1959965244,3511248900,9535344283,11388160958,14390709095,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622,118.5635,1.0274,0.17,3.141280459,2.097757578,6.781763872,8.976134361,5.857714205,2.114064726,1.77815106,3.8487924
Burkina Faso,Africa,330442817.2,458404330.1,1928720390,3101301781,2956746304,10109618964,11832159276,15990803570,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,83.0641,1.0259,0.28,4.043927977,0.117019611,0.796878872,-0.60292848,1.888473889,8.446281577,3.921228794,2.022384695
Bangladesh,Asia,4274893913,8992721809,18138049096,31598341234,53369787319,1.15279E+11,1.95079E+11,3.02571E+11,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570,1160.035,1.0108,2.15,6.058160825,5.619852293,0.819141869,5.622258162,5.293294718,5.571788188,6.552639879,2.375521656
Bulgaria,Europe,NA,NA,19839230769,20632090909,13245833844,50381825504,50647442757,68558815112,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,61.1654,0.9849,0.09,NA,NA,NA,-9.117377097,4.782043523,0.55944649,3.989851714,-4.15370283
Bahrain,Asia,NA,NA,3072698328,4229787234,9062898936,25713271277,31050638298,38574069149,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1924.4876,1.0061,0.02,NA,NA,NA,4.437997176,5.300070056,4.334299173,2.485378558,-5.814683428
"Bahamas, The",North America,169803921.6,538423153.7,1335300000,3.17E+09,8076470000,10095760000,11710800000,13578800000,409984,406471,392697,373272,325014,270679,223752,179129,13943,29.4043,1.0051,0.01,10.66709743,-5.649649519,6.495281921,-1.596249086,4.149234046,1.538385972,0.230478124,-16.27773826
Bosnia and Herzegovina,Europe,NA,NA,NA,NA,5505887894,17176781337,16211541820,20164193807,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,51209,63.1437,0.9886,0.04,NA,NA,NA,NA,5.500000276,0.86566926,3.089164152,-4.327345806
Belarus,Europe,NA,NA,NA,2.17E+10,12736856828,57222490769,56454734397,63080457023,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,45.9295,0.9955,0.12,NA,NA,NA,NA,5.80000344,7.798266823,-3.829570558,-0.9
Belize,North America,28071888.56,53233532.93,197938222.4,412086445.5,832050000,1377200000,1723800000,1879613600,405272,394921,359871,322106,240406,182589,145133,120905,22966,17.6466,1.0131,0.01,4.892277219,4.807693364,13.43668176,11.44338873,13.01958111,3.003529489,2.63368999,-14.03842116
Bermuda,North America,84466654.08,186300000,613299968,1592400000,3480219000,6634526000,6654541000,7484113000,64184,64031,63144,63447,61371,57470,53565,52019,54,1188.5926,1,0,4.68,6.312292359,7.943925234,0.019212296,9.317156411,-2.502878289,0.7755297,NA
Bolivia,South America,373879363.6,1017003367,4526916803,4867582620,8397912509,19649631314,33000198248,40895322844,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1098581,11.1272,1.012,0.15,2.089295936,5.231029301,-1.371775125,4.63578591,2.507807553,4.126721926,4.85718718,-7.82328995
Brazil,South America,15165569913,42327600098,2.35025E+11,4.61952E+11,6.55421E+11,2.20887E+12,1.80221E+12,1.83976E+12,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,8515767,25.2841,1.0046,2.7,10.27591155,8.769947472,9.110960155,-3.102355949,4.387949443,7.52822583,-3.545763393,-4.059048273
Barbados,North America,NA,NA,1012280615,2012131457,3059500000,4.53E+09,4.72E+09,5.21E+09,281635,280693,278083,274711,264657,258868,253575,241397,430,654.9651,1.0015,0,NA,NA,4.373064814,-3.307593308,4.447189623,-2.28645384,2.448701961,-17.6053641
Brunei Darussalam,Asia,NA,179080099.3,4928824958,3520551724,6001153306,13707370737,12930394938,13469422959,449002,441725,421437,396053,333926,261928,187921,133343,5765,77.8841,1.0081,0.01,NA,NA,-6.996702984,1.089420535,2.849421858,2.598965746,-0.39238375,1.203001939
Bhutan,Asia,NA,NA,135653295.2,299787275.8,424464089.9,1547991318,2003598213,2530547158,782455,772506,743274,705516,587207,558442,415257,298894,38394,20.3796,1.0064,0.01,NA,NA,NA,10.38311791,3.355068285,11.945896,6.642232105,-6.772101611
Botswana,Africa,30412308.99,96245114.46,1060923829,3790567052,5788329609,12786654498,14420593484,18340480936,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000,4.5194,1.0162,0.03,6.343283719,17.12026767,11.98690138,6.772821949,1.987695854,8.563630792,-1.697935427,-7.893053589
Central African Republic,Africa,112155598.9,189106554.5,797048028.8,1440711396,914500299.1,2142591376,1695825708,2220307369,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,8.9555,1.0224,0.07,4.953553798,2.332880877,-4.478638848,-2.147528066,-2.48943244,4.630818432,4.33712103,0
Canada,North America,40461721693,87896095320,2.73854E+11,5.9393E+11,7.42295E+11,1.61346E+12,1.55613E+12,1.73643E+12,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670,3.8513,1.0078,0.48,3.163291684,NA,NA,NA,4.917762744,3.08949462,0.659176864,-5.312944743
Switzerland,Europe,9522746719,24274075006,1.19008E+11,2.58067E+11,2.72055E+11,5.83783E+11,6.79832E+11,7.03082E+11,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,211.7157,1.0056,0.11,NA,NA,NA,3.674625697,3.976409234,3.268101656,1.657768711,-2.392826042
Chile,South America,4.11E+09,9126309735,29036709872,33113887818,77860932152,2.18538E+11,2.43919E+11,2.82318E+11,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,25.9274,1.0057,0.25,5.245271886,1.828966971,7.986620757,3.333565473,5.326938419,5.844177296,2.303767036,-5.771501669
China,Asia,59716467625,92602973434,1.91149E+11,3.60858E+11,1.21135E+12,6.08716E+12,1.10616E+13,1.42799E+13,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,146.8933,1,17.88,-27.27,19.3,7.834145016,3.920251368,8.490093406,10.63587106,7.041328879,2.3
Cote d'Ivoire,Africa,546203561.6,1455482990,10175615442,10795850107,10717022463,24908781285,45814637971,58539424930,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,87.3295,1.0248,0.35,9.932555156,10.37503184,-10.95769727,-1.095908411,-2.068400057,2.017638592,8.84285995,1.816441461
Cameroon,Africa,618740988,1160002261,6740756569,11151578051,10083937740,26169323293,30928653814,39007354359,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442,58.7128,1.0263,0.35,1.183680812,3.092068236,-1.965291669,-6.105697646,3.553374364,3.422507641,5.651463744,0.730339198
"Congo, Dem. Rep.",Africa,3359404118,4877684910,14394927495,9349764580,19088046306,21565720044,37917704900,50400746171,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858,42.2244,1.0325,1.24,-10.85137608,-0.245056575,2.194912924,-6.568310695,-6.910927317,7.107976576,6.91618781,0.773457032
"Congo, Rep.",Africa,131731862.6,274960699.9,1705796850,2798746051,3219910550,13148395202,11953249530,12267392147,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,17.4574,1.0231,0.07,8.350726724,6.358470188,17.63660548,1.000003567,7.575980395,9.931265431,-3.550581765,-7.948712902
Colombia,South America,4031152977,7198360460,33400735644,47844090710,99886577331,2.86563E+11,2.93482E+11,3.23616E+11,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,45.4339,1.0069,0.65,5.089216984,6.207796963,4.087353673,4.281998332,2.924861483,4.494658971,2.955901375,-6.847314206
Comoros,Africa,NA,NA,212218226.4,429622147.7,350264287.7,907978723.5,966029542,1165839927,836774,806166,730216,656024,536758,431119,328328,242351,1862,449.3953,1.0184,0.01,NA,NA,NA,5.091236413,10.84787862,3.799933455,1.116140583,4.910777475
Cabo Verde,Africa,NA,NA,142246875.5,306891107.3,539227277.6,1664310770,1596800287,1981845740,593149,582640,552166,521212,458251,364563,317234,287262,4033,147.0739,1.0089,0.01,NA,NA,NA,0.692171874,14.28486883,1.466790097,1.006863707,-14.78340501
Costa Rica,North America,507513830,984830158.5,4831447001,5711687787,14949514493,37268614024,54775994479,61801385049,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,101.3861,1.0052,0.06,1.879276559,7.503134343,0.751895403,3.553063365,3.868718088,5.360343526,3.652080968,-4.539965917
Cuba,North America,NA,5693005200,19912889861,28645436569,30565400000,6.43E+10,8.71E+10,NA,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,102.0366,0.9961,0.14,NA,NA,-4.849442952,-2.948564945,5.914760174,2.390352297,4.438141959,NA
Curacao,North America,NA,NA,NA,NA,NA,NA,3151910782,3101787709,191163,189288,169572,159380,141424,155446,156851,150385,444,430.5473,1.0043,0,NA,NA,NA,NA,NA,0.08230596,0.278694931,NA
Cayman Islands,North America,NA,NA,NA,NA,NA,4156990816,4708336756,NA,68706,67311,60911,54074,39658,26027,17100,10533,264,260.25,1.0084,0,NA,NA,NA,NA,NA,-2.715635262,2.833122226,NA
Cyprus,Europe,NA,NA,2154311277,5591130218,9985844486,25732432719,19842404305,24948935408,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,135.2814,1.0059,0.02,NA,NA,5.753244701,7.403999506,5.965310315,2.014695707,3.21856901,-5.103479519
Czech Republic,Europe,NA,NA,NA,40728950705,61828166496,2.0907E+11,1.88033E+11,2.50681E+11,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,133.0627,0.9984,0.13,NA,NA,NA,NA,4.001028635,2.434902159,5.388380838,-5.793571284
Germany,Europe,NA,2.15838E+11,9.50291E+11,1.77167E+12,1.94315E+12,3.39635E+12,3.35624E+12,3.86112E+12,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05,NA,NA,1.408828636,5.255006083,2.912502964,4.179882499,1.491931528,-4.569616717
Djibouti,Africa,NA,NA,NA,452328087.3,551230861.9,1128611700,2430287967,3324634256,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,48.3125,1.0138,0.01,NA,NA,NA,NA,NA,NA,7.696085576,0.5
Dominica,North America,NA,NA,72804653.33,201428730,333468888.9,493825925.9,540737037,582403703.7,72737,71995,70007,68755,68346,69481,72978,68895,751,96.8535,1.0045,0,NA,NA,13.38318227,5.417983567,2.340219321,0.6726344,-2.691108924,-16.70916029
Denmark,Europe,NA,17075457600,71127528700,1.38247E+11,1.64159E+11,3.21995E+11,3.02673E+11,3.50104E+11,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,136.4984,1.0048,0.07,6.378832476,1.596841805,-0.482986337,1.475244277,3.746862595,1.870991147,2.342591108,-2.062124959
Dominican Republic,North America,672399700,1485500000,6761300000,7073675545,24305116729,53860175557,71164825258,88941299734,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,230.7087,1.01,0.14,-2.31324875,18.22668288,7.968738509,-5.454312395,4.66176228,8.33965106,6.927018772,-6.720239373
Algeria,Africa,NA,4863487493,42345277342,62045099643,54790233856,1.61155E+11,1.66361E+11,1.71091E+11,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,-13.60544133,8.862657109,0.790606973,0.80000058,3.8,3.6,3.7,-5.480991935
Ecuador,South America,2069465326,2862504170,17881514683,15239278100,18327764882,69555367000,99290381000,1.07436E+11,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.0229,1.0114,0.23,5.124414881,6.87192933,3.708682969,3.679914053,1.091801564,3.525298669,0.098872608,-7.750123377
"Egypt, Arab Rep.",Africa,NA,8042200452,21669908177,42978914311,99838543960,2.18984E+11,3.29367E+11,3.03092E+11,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,110.7188,1.0158,1.39,5.161114145,5.59851504,10.01132904,5.667029151,6.370003834,5.147234859,4.372019078,3.569669475
Eritrea,Africa,NA,NA,NA,NA,706370815.6,1589515447,NA,NA,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31.3268,1.0176,0.05,NA,NA,NA,NA,-3.141985903,2.194190349,NA,NA
Spain,Europe,12072126075,40992995008,2.32767E+11,5.36559E+11,5.96878E+11,1.42072E+12,1.19512E+12,1.39349E+12,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,93.9909,1.0015,0.6,11.83867419,4.290639268,2.208728277,3.781393378,5.24599468,0.163010231,3.83517266,-10.82288649
Estonia,Europe,NA,NA,NA,NA,5694069842,19693608289,23048864243,31471100656,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,29.3201,0.998,0.02,NA,NA,NA,NA,10.08763283,2.444265118,1.853020046,-2.951069313
Ethiopia,Africa,NA,NA,NA,12175166763,8242392104,29933790334,64589334979,95912590628,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,111.7268,1.0257,1.55,NA,NA,NA,2.726451783,6.07321748,12.55053835,10.39246302,6.056617792
Finland,Europe,5224102196,11357516988,53645202423,1.41438E+11,1.25707E+11,2.49181E+11,2.3444E+11,2.69296E+11,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,7.604670479,4.813736796,5.38904788,0.670275844,5.773362458,3.185958654,0.543659212,-2.870690593
Fiji,Oceania,112328422.1,219878482.2,1202567359,1337024782,1684109743,3140508836,4682546881,5496250694,929766,920422,917200,905169,832509,780430,644582,527634,18272,50.8847,1.0056,0.01,3.517582004,12.70271113,-1.603456934,5.800002719,-1.699998416,2.954672422,4.502018108,-19.04875649
France,Europe,62225478001,1.48456E+11,7.01288E+11,1.26918E+12,1.36225E+12,2.64261E+12,2.43821E+12,2.71552E+12,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,4.980111849,6.108679813,1.57874526,2.923935081,3.923669227,1.949437623,1.112912341,-7.855256037
Faroe Islands,Europe,NA,NA,NA,NA,1058702725,2320424601,2518096286,NA,53090,52415,48816,48410,45660,47479,43054,38416,1393,38.112,1.0038,0,NA,NA,NA,NA,NA,NA,NA,NA
"Micronesia, Fed. Sts.",Oceania,NA,NA,NA,147200000,233271800,296944100,316489900,NA,114164,112106,109462,107588,111709,98603,76299,58989,702,162.6268,1.0091,0,NA,NA,NA,3.740926857,4.833903786,2.259389956,4.621884004,NA
Gabon,Africa,141468977.6,323802475.5,4279637934,5952293766,5067865321,14372591916,14383107714,16874450215,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.9252,1.0204,0.03,14.76684319,8.679342176,2.552937158,5.192237277,-1.882966398,7.089887315,3.878899395,-1.323936553
United Kingdom,Europe,73233967692,1.30672E+11,5.64948E+11,1.09317E+12,1.65782E+12,2.47524E+12,2.92859E+12,2.82911E+12,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,277.9289,1.0034,0.85,2.677118943,3.38084999,-2.031367786,0.733755503,3.506217426,2.074050953,2.363069511,-9.790240362
Georgia,Asia,NA,NA,NA,7753501868,3057475289,12243505583,14953950557,17477255546,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05,NA,12.05211625,4.576266275,-14.7882259,1.838341066,6.249487768,3.02220738,-6.159672928
Ghana,Africa,1217230038,2215029450,4445228216,5889174825,4983024408,32197272797,48564863888,66983634224,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,3.429674012,9.723472587,0.471695943,3.328817883,3.70000004,7.899711889,2.12075931,0.414443468
Gibraltar,Europe,NA,NA,NA,NA,NA,NA,NA,NA,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,0.9994,0,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Africa,NA,NA,NA,2666616177,2995360969,6853467858,8794202444,12296665331,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.3716,1.0242,0.17,NA,NA,NA,4.324062754,2.503060562,4.813362867,3.825921667,6.988559971
