Country.Name,Continent,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area..km...,Density..per.km...,Growth.Rate,World.Population.Percentage
Liechtenstein,Europe,90098330.67,534701915.6,1421466240,2483953103,5082366478,6268391521,NA,39327,38756,37355,35926,33026,28765,25003,21089,160,245.7937,1.0074,0
Sri Lanka,Asia,2296470588,4024621900,8032551173,16330814180,56725749222,80604080689,84008783756,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,332.7563,1.0027,0.27
Lesotho,Africa,68738625.23,431561376.5,596415104.5,887295267.9,2269525779,2372280103,2376328637,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,75.962,1.0107,0.03
Lithuania,Europe,NA,NA,NA,11524776867,37138464733,41418872976,54627411860,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,42.1142,0.9869,0.03
Luxembourg,Europe,1509155305,6232005794,13229247948,21263514833,53212476812,57744457955,71104919108,647599,630399,569408,507070,435628,381267,363741,339342,2586,250.425,1.0129,0.01
Latvia,Europe,NA,NA,NA,7949253766,23877564356,27239653844,34102913582,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.666,0.9876,0.02
"Macao SAR, China",Asia,NA,NA,3220920085,6720492406,28123640999,45361678147,53859116536,695168,676283,615239,557297,431896,350227,245332,247284,30,23172.2667,1.0125,0.01
St. Martin (French part),North America,NA,NA,NA,NA,NA,NA,NA,31791,32552,35020,36458,29610,28127,7776,5802,53,599.8302,0.9951,0
Morocco,Africa,3956328426,21728770055,30180108562,38857251336,93216746662,1.01E+11,1.20E+11,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,83.883,1.0103,0.47
Monaco,Europe,293073868,1378130996,2481316054,2647883816,5367625613,6261622101,NA,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,0.9941,0
Moldova,Europe,NA,NA,NA,1288429392,6974960345,7745231660,11968713370,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,96.7026,1.0691,0.04
Madagascar,Africa,1111859570,5201818349,3931334871,4629247091,9982711030,11323023787,14114631281,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,50.4423,1.0241,0.37
Maldives,Asia,NA,42463576.16,215089005.2,624337145.3,2588176055,4109447297,5642179170,523787,514438,435582,361575,282507,224957,164887,123243,300,1745.9567,1.0045,0.01
Mexico,North America,3.55E+10,2.05E+11,2.61E+11,7.08E+11,1.06E+12,1.17E+12,1.27E+12,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,64.9082,1.0063,1.6
Marshall Islands,Oceania,NA,NA,78476000,115347500,162164700,184599600,NA,41569,43413,49410,53416,54224,46047,31988,23969,181,229.663,0.9886,0
North Macedonia,Europe,NA,NA,4699646643,3772851420,9407168702,10064515432,12547040499,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,81.4218,0.9954,0.03
Mali,Africa,359772363.3,1759690812,2681912030,2954129566,10689167195,13104802016,17279566719,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.2178,1.0314,0.28
Malta,Europe,250721821.6,1250242108,2547163582,4069515557,9035932178,11091434435,14989415684,533286,515357,456579,418755,399212,365392,333587,315414,316,1687.6139,1.0124,0.01
Myanmar,Asia,NA,NA,NA,8905066164,49540813342,67822772707,76085852617,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578,80.0784,1.0071,0.68
Montenegro,Europe,NA,NA,NA,984297589.4,4142931813,4053097851,5542577965,627082,629048,633966,631044,633324,621442,589324,530268,13812,45.4012,0.9988,0.01
Mongolia,Asia,NA,NA,2560785660,1136896124,7189481824,11749620620,13996719329,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2.1727,1.0151,0.04
Mozambique,Africa,NA,NA,NA,5656473652,11104648673,15950969019,15291448212,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,41.1302,1.0278,0.41
Mauritania,Africa,309405316.1,1047924649,1506914408,1779521110,5628882266,6166857629,7600656944,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,4.5951,1.0263,0.06
Mauritius,Africa,NA,1131788192,2653480001,4663313620,10003670690,11692287066,14048430519,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946,1.0004,0.02
Malawi,Africa,290531621.3,1237655461,1880771556,1743506531,6959655571,6373212641,7666704427,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,172.22,1.0259,0.26
Malaysia,Asia,3864170913,24488033442,44024178343,93789736842,2.55E+11,3.01E+11,3.65E+11,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,102.5934,1.0109,0.43
Namibia,Africa,NA,2422096075,2785764518,3833993703,11268186636,11272143473,12366528259,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3.1092,1.0146,0.03
New Caledonia,Oceania,358815681.9,1182457143,2529310104,2682347064,NA,NA,NA,289950,286403,283032,261426,221537,177264,148599,110982,18575,15.6097,1.0075,0
Niger,Africa,649916708.2,2508524186,3512356353,2236185390,7851191899,9685577941,12911689659,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,20.6851,1.0378,0.33
Nigeria,Africa,12545849083,64201788123,54035795388,69448756933,3.61E+11,4.87E+11,4.48E+11,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,236.5759,1.0241,2.74
Nicaragua,North America,776585681.1,2189347368,1009455484,5107329007,8758639096,12756706583,12520915291,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,53.2962,1.0143,0.09
Netherlands,Europe,38164716625,1.95E+11,3.18E+11,4.16E+11,8.47E+11,7.65E+11,9.07E+11,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,419.6897,1.0036,0.22
Norway,Europe,12814123115,64439382896,1.20E+11,1.71E+11,4.29E+11,3.86E+11,4.03E+11,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,16.7828,1.0058,0.07
Nepal,Asia,865975308.6,1945916583,3627562403,5494252208,16002656434,21410840909,30641380604,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,207.5511,1.0171,0.38
Nauru,Oceania,NA,NA,NA,NA,47564520.39,86779266.16,118223430.1,12668,12315,11185,10241,10377,9598,7635,6663,21,603.2381,1.0125,0
New Zealand,Oceania,6623527831,23244547385,45495129385,52623281957,1.47E+11,1.77E+11,2.07E+11,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,19.1716,1.0108,0.07
Oman,Asia,256299496,5981760278,11685045514,19507452508,56913065779,68399663322,76331518669,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,14.7861,1.0123,0.06
Pakistan,Asia,10027509450,23654444444,40010423970,82017743416,1.77E+11,2.71E+11,2.78E+11,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,881912,267.4018,1.0191,2.96
Panama,North America,1351006400,4614086400,6433967000,12304115000,29440300000,54091700000,66800800000,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,75417,58.4561,1.0132,0.06
Peru,South America,7432223177,18134029180,26410386669,51744749133,1.48E+11,1.90E+11,2.27E+11,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1285216,26.4933,1.0099,0.43
Philippines,Asia,6687204834,32450541843,44311593756,83670261708,2.08E+11,3.06E+11,3.77E+11,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,342353,337.5434,1.0147,1.45
Palau,Oceania,NA,NA,NA,146297500,185943000,280457700,268354919.4,18055,17972,17794,18540,19726,15293,12252,11366,459,39.3355,1.0017,0
Papua New Guinea,Oceania,645537126.2,2545983008,3219730365,3521339699,14250755222,21723531182,24829107011,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,21.9139,1.0194,0.13
Poland,Europe,NA,NA,65977749037,1.72E+11,4.80E+11,4.78E+11,5.96E+11,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,127.4698,1.0404,0.5
Puerto Rico,North America,5034700000,14436100000,30603919000,61701800000,98381300000,1.03E+11,1.05E+11,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,8870,366.675,0.9989,0.04
"Korea, Dem. Peopleâ€™s Rep.",Asia,NA,NA,NA,NA,NA,NA,NA,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,120538,216.2755,1.0038,0.33
Portugal,Europe,8108235704,32896519824,78713860217,1.18E+11,2.38E+11,1.99E+11,2.39E+11,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,111.5307,0.9981,0.13
Paraguay,South America,594611111.1,4448087302,5812114523,8855705140,27215968616,36164068797,38145288940,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,16.6705,1.0115,0.09
West Bank and Gaza,Asia,NA,NA,NA,4313600000,9681500000,13972400000,NA,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,6220,844.063,1.0227,0.07
French Polynesia,Oceania,254035999.2,1362151524,3181206305,3447543138,NA,NA,NA,306279,301920,291787,283788,250927,211089,163591,117891,4167,73.5011,1.0074,0
Qatar,Asia,301791301.8,7829094613,7360439423,17759890110,1.25E+11,1.62E+11,1.76E+11,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,232.6189,1.0026,0.03
Romania,Europe,NA,NA,38995454545,37253259017,1.66E+11,1.78E+11,2.50E+11,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,82.4665,1.0171,0.25
Russian Federation,Europe,NA,NA,5.17E+11,2.60E+11,1.52E+12,1.36E+12,1.70E+12,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,8.4636,0.9973,1.81
Rwanda,Africa,219900006,1254765350,2550185618,2068929592,6124120673,8545441361,10354417725,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,523.0731,1.0234,0.17
Saudi Arabia,Asia,5377268849,1.65E+11,1.18E+11,1.90E+11,5.28E+11,6.54E+11,7.93E+11,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,16.9368,1.0128,0.46
Sudan,Africa,2437666667,7459833333,12408647541,12257418326,58167563413,74294508240,30513456085,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1886068,24.8529,1.0267,0.59
Senegal,Africa,1297407829,4435050397,7237100724,5924239701,16230887978,17774766636,23578084052,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,88.025,1.0261,0.22
Singapore,Asia,1920586698,11896256783,36144336769,96074477958,2.40E+11,3.08E+11,3.72E+11,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,710,8416.4634,1.0058,0.07
Solomon Islands,Oceania,NA,177151120.8,208003796.3,429169368.6,846797693.6,1307061544,1589913622,724273,691191,612660,540394,429978,324171,233668,172833,28896,25.0648,1.0232,0.01
Sierra Leone,Africa,434410373.8,1100685845,649644826.8,635874002.2,2578026297,4218723875,4121733705,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,119.957,1.022,0.11
El Salvador,North America,1132920000,3573959900,4817542204,11784927700,18447920000,23438240000,27022640000,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,301.145,1.0035,0.08
San Marino,Europe,NA,NA,NA,1005159388,1881214371,1419394771,NA,33660,34007,33570,31608,26823,23132,21346,18169,61,551.8033,0.9975,0
Somalia,Africa,322600009.1,603592656.8,917044228,NA,NA,NA,NA,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,27.5971,1.0312,0.22
Serbia,Europe,NA,NA,NA,6875845987,41819468692,39655958843,51475016532,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,81.7257,0.9897,0.09
South Sudan,Africa,NA,NA,NA,NA,14602072411,11997800760,NA,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,619745,17.6091,1.0153,0.14
Sao Tome and Principe,Africa,NA,NA,NA,NA,196652166.3,316065369.9,418637389,227380,218641,201124,182138,143714,120343,97210,77583,964,235.8714,1.0192,0
Suriname,South America,274900000,7.95E+08,388400000,947671969.7,4368398048,4787367928,3697371950,618040,607065,575475,546080,478998,412756,375112,379918,163820,3.7727,1.0082,0.01
Slovak Republic,Europe,NA,NA,12747380650,29169953013,90310718349,88467555244,1.05E+11,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,49037,115.0856,1.0359,0.07
Slovenia,Europe,NA,NA,18198199153,20289627637,48161250405,43090173395,54174227309,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,20273,104.5649,1.0002,0.03
Sweden,Europe,38092452061,1.42E+11,2.62E+11,2.63E+11,4.96E+11,5.05E+11,5.31E+11,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,23.4276,1.0079,0.13
Eswatini,Africa,112137757.2,542000513.6,1114703088,1738100853,4438778547,4062660890,4471598727,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364,69.2047,1.0079,0.02
Sint Maarten (Dutch part),North America,NA,NA,NA,NA,NA,1253072626,NA,44175,43621,40205,33034,30489,27845,12243,6260,34,1299.2647,1.003,0
Seychelles,Africa,18432031.36,147357222.8,368584758.9,614879764.8,969936525.3,1377495054,1703387387,107118,105530,99240,92409,80060,71057,65290,54379,452,236.9867,1.0061,0
Syrian Arab Republic,Asia,2140383696,13062421025,12308624284,19325894913,NA,NA,NA,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,119.4797,1.0376,0.28
Turks and Caicos Islands,North America,NA,NA,NA,NA,686787800,942070000,1197415000,45703,44276,36538,29726,18744,11709,7598,5665,948,48.2099,1.0131,0
Chad,Africa,469266736.6,1033002402,1738605558,1385058162,10668102735,10950392220,11314951343,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,13.8032,1.0316,0.22
Togo,Africa,253976626.2,1136408814,1628427515,1488185772,3429461495,4180866177,5490272413,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,155.8281,1.0236,0.11
Thailand,Asia,7086538438,32353440727,85343063966,1.26E+11,3.41E+11,4.01E+11,5.44E+11,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9
Tajikistan,Asia,NA,NA,2629395066,860521119.3,5642178580,7854602392,8116626794,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,69.5513,1.0208,0.12
Turkmenistan,Asia,NA,NA,3189539641,2904662605,22583157895,35799714286,NA,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,13.1751,1.014,0.08
Timor-Leste,Asia,NA,NA,NA,367087900,881826900,1594410800,2017924900,1341296,1299995,1205813,1088486,878360,758106,642224,554021,14874,90.1772,1.0154,0.02
Tonga,Oceania,NA,53260077.43,113563821.6,204849594.9,366840012.4,437006227.2,512350059.4,106858,105254,106122,107383,102603,98727,96708,86484,747,143.0495,1.0079,0
Trinidad and Tobago,North America,821850000,6235833333,5.07E+09,8154338233,22157948396,25062893969,24269714810,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,298.4491,1.0035,0.02
Tunisia,Africa,1439238095,8744134354,12290568182,21473188882,44050929160,43173480832,38796687568,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,75.5218,1.0076,0.15
Turkey,Asia,17086956522,68789289566,1.51E+11,2.74E+11,7.77E+11,8.64E+11,7.61E+11,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,108.9145,1.0067,1.07
Tuvalu,Oceania,NA,NA,8824447.74,13742057.05,31823518.62,35492074.22,47271463.33,11312,11069,10877,10550,9638,9182,7731,5814,26,435.0769,1.0096,0
Tanzania,Africa,NA,NA,4258743263,13375976354,32014249841,47378599025,63177068175,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,69.3034,1.03,0.82
Uganda,Africa,1260084034,1244610000,4304398866,6193246837,26558906014,32248116584,35165157017,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,195.61,1.0304,0.59
Ukraine,Europe,NA,NA,81456918679,31261527363,1.36E+11,91030959455,1.54E+11,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,65.7858,0.912,0.5
Uruguay,South America,2137096774,10163020116,9298839655,22823255803,40284481653,53274304222,56045912953,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,18.9069,0.999,0.04
United States,North America,1.07E+12,2.86E+12,5.96E+12,1.03E+13,1.50E+13,1.82E+13,2.14E+13,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,36.0935,1.0038,4.24
Uzbekistan,Asia,NA,NA,13360607918,13760513969,46679875794,81847410182,57921286440,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,77.3975,1.016,0.43
St. Vincent and the Grenadines,North America,18450000,82340339.63,240365262.6,396261370.4,681225925.9,755400000,824718518.5,103948,104632,106482,109308,113813,112487,107480,98459,389,267.2185,0.9963,0
"Venezuela, RB",South America,11561111111,59116511628,48598315565,1.17E+11,3.93E+11,NA,NA,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,30.882,1.0036,0.35
British Virgin Islands,North America,NA,NA,NA,NA,NA,NA,NA,31305,30910,29366,27556,20104,15617,11109,9581,151,207.3179,1.0059,0
Virgin Islands (U.S.),North America,NA,NA,NA,NA,4.34E+09,3.75E+09,NA,99465,100442,102803,106142,108185,100685,96640,63446,347,286.6427,0.9937,0
Vietnam,Asia,NA,NA,6471740806,31172518403,1.16E+11,1.93E+11,2.62E+11,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,296.4472,1.0074,1.23
Vanuatu,Oceania,NA,121185497.6,168879207.2,272014693.1,700804286.2,759689950.9,934239973.8,326740,311685,276438,245453,192074,150882,118156,87019,12189,26.8061,1.0238,0
Samoa,Oceania,NA,NA,125766269.8,269019710.3,663161517.9,788307330.6,852250191,222382,214929,203571,194672,184008,168186,164905,142771,2842,78.2484,1.0165,0
"Yemen, Rep.",Asia,NA,NA,5647119229,9652436180,30906749533,42450620876,22581081994,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,63.8232,1.0217,0.42
South Africa,Africa,18418392640,82980483391,1.16E+11,1.36E+11,3.75E+11,3.18E+11,3.51E+11,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1221037,49.0517,1.0084,0.75
Zambia,Africa,1825285714,3829500000,3285217391,3600683040,20265559484,21243339048,23309773923,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,26.5976,1.028,0.25
Zimbabwe,Africa,1884206300,6678868200,8783816700,6689957600,12041655200,19963120600,21440758800,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,41.7665,1.0204,0.2
NA,North America,NA,NA,NA,NA,NA,NA,NA,15857,15585,14525,13172,11047,8316,6560,6283,91,174.2527,1.0066,0
NA,Oceania,NA,NA,NA,NA,NA,NA,NA,17011,17029,17695,17212,15897,17123,17651,20470,236,72.0805,1.0005,0
NA,South America,NA,NA,NA,NA,NA,NA,NA,3780,3747,3408,3187,3080,2332,2240,2274,12173,0.3105,1.0043,0
NA,South America,NA,NA,NA,NA,NA,NA,NA,304557,290969,257026,228453,164351,113931,66825,46484,83534,3.6459,1.0239,0
NA,North America,NA,NA,NA,NA,NA,NA,NA,395752,395642,399089,403072,424067,391951,334234,318310,1628,243.0909,0.9992,0
NA,Europe,NA,NA,NA,NA,NA,NA,NA,63301,62794,61629,60782,59114,57727,52860,52656,78,811.5513,1.0037,0
NA,Europe,NA,NA,NA,NA,NA,NA,NA,110778,108319,100561,96151,86192,82874,75124,68347,116,954.9828,1.0106,0
NA,North America,NA,NA,NA,NA,NA,NA,NA,367507,370391,383515,392181,432543,374271,333786,326428,1128,325.8041,0.9965,0
NA,Africa,NA,NA,NA,NA,NA,NA,NA,326101,305587,249545,211786,159215,92659,52233,35383,374,871.9278,1.0319,0
NA,North America,NA,NA,NA,NA,NA,NA,NA,4390,4500,5059,4938,5138,10805,11452,11402,102,43.0392,0.9939,0
NA,Oceania,NA,NA,NA,NA,NA,NA,NA,1934,1942,1847,1812,2074,2533,3637,5185,260,7.4385,0.9985,0
NA,Oceania,NA,NA,NA,NA,NA,NA,NA,49551,49587,51514,54087,80338,48002,17613,10143,464,106.7909,1.0014,0
NA,Africa,NA,NA,NA,NA,NA,NA,NA,974052,957822,922495,890130,785424,658992,551674,473925,2511,387.914,1.0082,0.01
NA,North America,NA,NA,NA,NA,NA,NA,NA,10967,10681,9643,8988,7082,5168,2983,2417,21,522.2381,1.0098,0
NA,North America,NA,NA,NA,NA,NA,NA,NA,5862,5906,5978,6052,6274,6324,6106,5537,242,24.2231,0.9964,0
NA,Asia,NA,NA,NA,NA,NA,NA,NA,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,36193,660.1662,1.0014,0.3
NA,Oceania,NA,NA,NA,NA,NA,NA,NA,1871,1827,1454,1367,1666,1669,1647,1714,12,155.9167,1.0119,0
NA,Europe,NA,NA,NA,NA,NA,NA,NA,510,520,564,596,651,700,733,752,1,510,0.998,0
NA,Oceania,NA,NA,NA,NA,NA,NA,NA,11572,11655,12182,13142,14723,13454,11315,9377,142,81.493,0.9953,0
NA,Africa,NA,NA,NA,NA,NA,NA,NA,575986,556048,491824,413296,270375,178529,116775,76371,266000,2.1654,1.0184,0.01
